1
Deck is attached!
stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,controller.pitch,controller.roll,ctrltargetZ.x,ctrltargetZ.y,ctrltargetZ.z,
67,-111,174,5.975329875946045,1.6175446510314941,63.0,-94.0,299.0,
69,-109,175,5.5904436111450195,2.317507743835449,63.0,-94.0,299.0,
69,-109,176,5.5904436111450195,2.317507743835449,63.0,-94.0,299.0,
72,-107,177,5.327645778656006,3.1400327682495117,63.0,-94.0,299.0,
72,-106,178,5.327645778656006,3.1400327682495117,63.0,-94.0,299.0,
73,-105,178,4.864477634429932,3.9719598293304443,63.0,-94.0,299.0,
74,-105,179,4.864477634429932,3.9719598293304443,63.0,-94.0,299.0,
76,-103,179,4.158933162689209,4.1501054763793945,63.0,-94.0,299.0,
76,-103,180,4.158933162689209,4.1501054763793945,63.0,-94.0,299.0,
77,-101,180,3.7754549980163574,4.564845561981201,63.0,-94.0,299.0,
77,-100,181,3.7754549980163574,4.564845561981201,63.0,-94.0,299.0,
78,-99,181,2.7548575401306152,4.915745735168457,63.0,-94.0,299.0,
79,-98,182,2.7548575401306152,4.915745735168457,63.0,-94.0,299.0,
79,-97,182,2.097428560256958,4.975033283233643,63.0,-94.0,299.0,
80,-96,183,2.097428560256958,4.975033283233643,63.0,-94.0,299.0,
81,-94,183,1.48578941822052,4.844642162322998,63.0,-94.0,299.0,
81,-93,184,1.48578941822052,4.844642162322998,63.0,-94.0,299.0,
82,-92,184,0.9426781535148621,5.007408142089844,63.0,-94.0,299.0,
82,-91,183,0.9426781535148621,5.007408142089844,63.0,-94.0,299.0,
82,-90,183,0.3675364851951599,4.681609153747559,63.0,-94.0,299.0,
83,-90,184,0.3675364851951599,4.681609153747559,63.0,-94.0,299.0,
83,-90,184,-0.2012379765510559,4.013373851776123,63.0,-94.0,299.0,
83,-88,184,-0.2012379765510559,4.013373851776123,63.0,-94.0,299.0,
83,-89,184,-0.8315728902816772,3.716606378555298,63.0,-94.0,299.0,
83,-87,184,-0.8315728902816772,3.716606378555298,63.0,-94.0,299.0,
83,-87,185,-1.348029375076294,3.0275380611419678,63.0,-94.0,299.0,
83,-87,185,-1.348029375076294,3.0275380611419678,63.0,-94.0,299.0,
84,-86,185,-1.5514870882034302,2.253098487854004,63.0,-94.0,299.0,
83,-86,185,-1.5514870882034302,2.253098487854004,63.0,-94.0,299.0,
83,-85,186,-1.8592690229415894,1.4965876340866089,63.0,-94.0,299.0,
82,-85,187,-1.8592690229415894,1.4965876340866089,63.0,-94.0,299.0,
81,-85,187,-2.2995407581329346,0.9297623634338379,63.0,-94.0,299.0,
82,-85,187,-2.2995407581329346,0.9297623634338379,63.0,-94.0,299.0,
81,-85,188,-2.4140872955322266,0.4113319516181946,63.0,-94.0,299.0,
82,-85,189,-2.4140872955322266,0.4113319516181946,63.0,-94.0,299.0,
81,-85,188,-2.202488899230957,-0.34027454257011414,63.0,-94.0,299.0,
81,-85,189,-2.202488899230957,-0.34027454257011414,63.0,-94.0,299.0,
80,-85,190,-2.2450366020202637,-0.7964114546775818,63.0,-94.0,299.0,
80,-86,190,-2.2450366020202637,-0.7964114546775818,63.0,-94.0,299.0,
81,-86,191,-2.288114070892334,-1.353484869003296,63.0,-94.0,299.0,
81,-85,191,-2.288114070892334,-1.353484869003296,63.0,-94.0,299.0,
80,-86,192,-1.9935383796691895,-1.6248321533203125,63.0,-94.0,299.0,
79,-87,193,-1.9935383796691895,-1.6248321533203125,63.0,-94.0,299.0,
82,-88,193,-2.036836862564087,-2.064176082611084,63.0,-94.0,299.0,
81,-87,192,-2.036836862564087,-2.064176082611084,63.0,-94.0,299.0,
81,-89,193,-1.2089282274246216,-2.330015182495117,63.0,-94.0,299.0,
81,-89,193,-1.2089282274246216,-2.330015182495117,63.0,-94.0,299.0,
81,-89,194,-0.9722113609313965,-2.758533239364624,63.0,-94.0,299.0,
81,-89,195,-0.9722113609313965,-2.758533239364624,63.0,-94.0,299.0,
81,-90,196,-0.6028996109962463,-2.752340078353882,63.0,-94.0,299.0,
81,-90,197,-0.6028996109962463,-2.752340078353882,63.0,-94.0,299.0,
81,-92,198,-0.35528671741485596,-2.6751296520233154,63.0,-94.0,299.0,
80,-91,198,-0.35528671741485596,-2.6751296520233154,63.0,-94.0,299.0,
81,-91,200,-0.19804595410823822,-2.7613699436187744,63.0,-94.0,299.0,
80,-92,201,-0.19804595410823822,-2.7613699436187744,63.0,-94.0,299.0,
80,-92,202,0.03459761664271355,-2.6147823333740234,63.0,-94.0,299.0,
81,-94,203,0.03459761664271355,-2.6147823333740234,63.0,-94.0,299.0,
81,-94,204,0.23938605189323425,-2.71578049659729,63.0,-94.0,299.0,
82,-94,206,0.23938605189323425,-2.71578049659729,63.0,-94.0,299.0,
81,-95,207,0.673208475112915,-2.422154426574707,63.0,-94.0,299.0,
81,-95,207,0.673208475112915,-2.422154426574707,63.0,-94.0,299.0,
81,-95,208,0.6712750792503357,-2.049881935119629,63.0,-94.0,299.0,
82,-95,210,0.6712750792503357,-2.049881935119629,63.0,-94.0,299.0,
82,-95,211,0.9457432627677917,-1.5665167570114136,63.0,-94.0,299.0,
81,-95,212,0.9457432627677917,-1.5665167570114136,63.0,-94.0,299.0,
81,-96,213,0.796166718006134,-1.3039906024932861,63.0,-94.0,299.0,
81,-95,215,0.796166718006134,-1.3039906024932861,63.0,-94.0,299.0,
81,-96,216,0.6338937282562256,-0.9005873799324036,63.0,-94.0,299.0,
81,-96,217,0.6338937282562256,-0.9005873799324036,63.0,-94.0,299.0,
81,-94,218,0.6613770723342896,-0.5691325664520264,63.0,-94.0,299.0,
81,-94,219,0.6613770723342896,-0.5691325664520264,63.0,-94.0,299.0,
81,-94,220,0.6699429154396057,0.05849301069974899,63.0,-94.0,299.0,
81,-95,221,0.6699429154396057,0.05849301069974899,63.0,-94.0,299.0,
81,-96,222,0.48973900079727173,0.10053229331970215,63.0,-94.0,299.0,
81,-96,223,0.48973900079727173,0.10053229331970215,63.0,-94.0,299.0,
80,-96,226,0.39053115248680115,0.2972796857357025,63.0,-94.0,299.0,
80,-96,227,0.39053115248680115,0.2972796857357025,63.0,-94.0,299.0,
80,-95,228,0.19053342938423157,0.5165578126907349,63.0,-94.0,299.0,
80,-95,229,0.19053342938423157,0.5165578126907349,63.0,-94.0,299.0,
80,-94,230,0.12303894758224487,0.9050017595291138,63.0,-94.0,299.0,
80,-93,232,0.12303894758224487,0.9050017595291138,63.0,-94.0,299.0,
80,-93,233,0.08506790548563004,1.2539973258972168,63.0,-94.0,299.0,
80,-93,234,0.08506790548563004,1.2539973258972168,63.0,-94.0,299.0,
81,-95,235,0.013064039871096611,1.3634285926818848,63.0,-94.0,299.0,
81,-95,235,0.013064039871096611,1.3634285926818848,63.0,-94.0,299.0,
80,-94,236,0.21165597438812256,0.8661735653877258,63.0,-94.0,299.0,
80,-96,237,0.21165597438812256,0.8661735653877258,63.0,-94.0,299.0,
84,-92,238,0.018368883058428764,0.43311062455177307,63.0,-94.0,299.0,
84,-92,237,0.018368883058428764,0.43311062455177307,63.0,-94.0,299.0,
84,-92,238,1.024970293045044,1.3004164695739746,63.0,-94.0,299.0,
84,-91,238,1.024970293045044,1.3004164695739746,63.0,-94.0,299.0,
84,-90,239,0.9720557332038879,1.449648141860962,63.0,-94.0,299.0,
84,-90,239,0.9720557332038879,1.449648141860962,63.0,-94.0,299.0,
84,-91,240,0.9369600415229797,1.4265965223312378,63.0,-94.0,299.0,
84,-91,240,0.9369600415229797,1.4265965223312378,63.0,-94.0,299.0,
83,-92,241,0.8543664216995239,0.9489191770553589,63.0,-94.0,299.0,
83,-92,241,0.8543664216995239,0.9489191770553589,63.0,-94.0,299.0,
83,-92,242,0.5118151903152466,0.6535196900367737,63.0,-94.0,299.0,
83,-91,242,0.5118151903152466,0.6535196900367737,63.0,-94.0,299.0,
83,-91,242,0.49518096446990967,0.5101990103721619,63.0,-94.0,299.0,
83,-91,243,0.49518096446990967,0.5101990103721619,63.0,-94.0,299.0,
83,-92,243,0.36860135197639465,0.32472288608551025,63.0,-94.0,299.0,
83,-92,243,0.36860135197639465,0.32472288608551025,63.0,-94.0,299.0,
83,-92,244,0.2892003655433655,0.012342112138867378,63.0,-94.0,299.0,
83,-92,244,0.2892003655433655,0.012342112138867378,63.0,-94.0,299.0,
