1
Deck is attached!
stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,ctrltargetZ.x,ctrltargetZ.y,ctrltargetZ.z,stabilizer.thrust,debug.error,
4,-32,7,0.0,0.0,0.0,0.0,0.0,
4,-32,7,0.0,0.0,0.0,0.0,0.0,
4,-32,7,0.0,0.0,0.0,0.0,0.0,
4,-32,7,0.0,0.0,0.0,0.0,0.0,
3,-32,7,0.0,0.0,0.0,0.0,0.0,
3,-32,8,0.0,0.0,0.0,0.0,0.0,
3,-32,8,0.0,0.0,0.0,0.0,0.0,
2,-32,8,0.0,0.0,0.0,0.0,0.0,
2,-32,8,0.0,0.0,0.0,0.0,0.0,
1,-32,8,0.0,0.0,0.0,0.0,0.0,
2,-32,8,0.0,0.0,0.0,0.0,0.0,
2,-32,8,0.0,0.0,0.0,0.0,0.0,
1,-32,8,0.0,0.0,0.0,0.0,0.0,
2,-32,7,0.0,0.0,0.0,0.0,0.0,
2,-32,7,0.0,0.0,0.0,0.0,0.0,
2,-32,7,0.0,0.0,0.0,0.0,0.0,
2,-32,7,0.0,0.0,0.0,0.0,0.0,
2,-32,7,0.0,0.0,0.0,0.0,0.0,
3,-32,7,0.0,0.0,0.0,0.0,0.0,
2,-32,7,0.0,0.0,0.0,0.0,0.0,
2,-32,7,0.0,0.0,0.0,0.0,0.0,
2,-32,7,0.0,0.0,0.0,0.0,0.0,
3,-32,6,0.0,0.0,0.0,0.0,0.0,
3,-32,6,0.0,0.0,0.0,0.0,0.0,
3,-32,6,0.0,0.0,0.0,0.0,0.0,
3,-32,6,0.0,0.0,0.0,0.0,0.0,
3,-32,7,3.0,-32.0,6.0,36156.9765625,0.0001696222461760044,
3,-32,7,3.0,-32.0,6.0,36156.9765625,0.0001696222461760044,
4,-32,7,3.0,-32.0,6.0,36125.11328125,-0.0009477529674768448,
1,-32,7,3.0,-32.0,6.0,36125.11328125,-0.0009477529674768448,
1,-32,7,3.0,-32.0,6.0,36049.453125,-0.0006436659023165703,
1,-32,7,3.0,-32.0,6.0,36049.453125,-0.0006436659023165703,
1,-32,7,3.0,-32.0,7.0,36021.6484375,0.00042161671444773674,
1,-32,7,3.0,-32.0,7.0,36021.6484375,0.00042161671444773674,
1,-32,7,3.0,-32.0,9.0,36093.79296875,0.0024461252614855766,
1,-32,7,3.0,-32.0,9.0,36093.79296875,0.0024461252614855766,
1,-32,7,3.0,-32.0,13.0,36204.734375,0.005552501883357763,
1,-31,7,3.0,-32.0,13.0,36204.734375,0.005552501883357763,
1,-31,7,3.0,-32.0,18.0,36368.50390625,0.01084508653730154,
1,-31,7,3.0,-32.0,18.0,36368.50390625,0.01084508653730154,
1,-31,7,3.0,-32.0,26.0,36582.015625,0.01825695112347603,
0,-31,8,3.0,-32.0,26.0,36582.015625,0.01825695112347603,
0,-31,8,3.0,-32.0,35.0,36843.67578125,0.027728144079446793,
0,-31,8,3.0,-32.0,35.0,36843.67578125,0.027728144079446793,
0,-31,7,3.0,-32.0,47.0,37230.90234375,0.039703067392110825,
0,-31,7,3.0,-32.0,47.0,37230.90234375,0.039703067392110825,
0,-30,7,3.0,-32.0,62.0,37801.9921875,0.05464049428701401,
0,-30,8,3.0,-32.0,62.0,37801.9921875,0.05464049428701401,
0,-30,8,3.0,-32.0,79.0,38467.61328125,0.07107193768024445,
0,-29,8,3.0,-32.0,79.0,38467.61328125,0.07107193768024445,
0,-29,8,3.0,-32.0,97.0,39163.72265625,0.08895272016525269,
